0	100	0	0	0
20	0	100	0	100
40	0	100	0	100
60	0	100	0	100
80	0	100	0	100
100	0	100	0	100
120	0	100	0	100
140	0	100	0	100
160	0	100	0	100
180	0	100	0	100
200	0	100	0	100
220	0	99	0	99
240	0	97	0	97
260	0	97	0	97
280	0	97	0	97
300	0	97	0	97
320	0	96	0	96
340	0	94	0	94
360	0	94	0	94
380	0	94	0	94
400	0	92	2	94
420	0	85	8	93
440	0	73	19	92
460	0	64	28	92
480	0	53	38	91
500	0	45	46	91
520	0	41	50	91
540	0	31	59	90
560	0	21	68	89
580	0	10	78	88
600	0	1	86	87
620	0	0	87	87
640	0	0	86	86
660	0	0	84	84
680	0	0	84	84
700	85	0	83	83
720	1576	0	83	83
740	2989	315	83	398
760	3251	1515	83	1598
780	1711	1944	82	2026
800	422	1918	80	1998
820	0	1878	80	1958
840	0	1795	79	1874
860	0	1765	79	1844
880	0	1735	79	1814
900	0	1700	78	1778
920	0	1668	77	1745
940	0	1643	76	1719
960	0	1612	76	1688
980	0	1572	76	1648
1000	0	1544	75	1619
1020	0	1508	62	1570
1040	0	1470	62	1532
1060	0	1435	62	1497
1080	1259	1410	61	1471
1100	2049	1572	61	1633
1120	2214	1938	61	1999
1140	1490	1922	70	1992
1160	447	1867	134	2001
1180	0	1707	254	1961
